Date,Open,High,Low,Close,Volume
1/12/2024,220.08,225.34,217.15,218.89,"123,043,797"
1/11/2024,230.57,230.93,225.37,227.22,"105,873,602"
1/10/2024,235.1,235.5,231.29,233.94,"91,628,492"
1/9/2024,238.11,238.96,232.04,234.96,"96,705,664"
1/8/2024,236.14,241.25,235.3,240.45,"85,166,578"
1/5/2024,236.86,240.12,234.9,237.49,"92,488,945"
1/4/2024,239.25,242.7,237.73,237.93,"102,629,297"
1/3/2024,244.98,245.68,236.32,238.45,"121,082,602"
1/2/2024,250.08,251.25,244.41,248.42,"104,654,203"
12/29/2023,255.1,255.19,247.43,248.48,"100,891,602"
12/28/2023,263.66,265.13,252.71,253.18,"113,619,906"
12/27/2023,258.35,263.34,257.52,261.44,"106,494,398"
12/26/2023,254.49,257.97,252.91,256.61,"86,892,383"
12/22/2023,256.76,258.22,251.37,252.54,"93,370,086"
12/21/2023,251.9,254.8,248.55,254.5,"109,594,203"
12/20/2023,256.41,259.84,247,247.14,"125,097,000"
12/19/2023,253.48,258.34,253.01,257.22,"106,737,398"
12/18/2023,253.78,258.74,251.36,252.08,"116,416,492"
12/15/2023,251.21,254.13,248.3,253.5,"135,932,797"
12/14/2023,241.22,253.88,240.79,251.05,"160,829,203"
12/13/2023,234.19,240.3,228.2,239.29,"146,286,297"
12/12/2023,238.55,238.99,233.87,237.01,"95,328,312"
12/11/2023,242.74,243.44,237.45,239.74,"97,913,891"
12/8/2023,240.27,245.27,239.27,243.84,"103,126,797"
12/7/2023,241.55,244.08,236.98,242.64,"107,142,305"
12/6/2023,242.92,246.57,239.17,239.37,"126,436,203"
12/5/2023,233.87,246.66,233.7,238.72,"137,971,109"
12/4/2023,235.75,239.37,233.29,235.58,"104,099,797"
12/1/2023,233.14,240.19,231.9,238.83,"121,331,695"
11/30/2023,245.14,245.22,236.91,240.08,"132,353,203"
11/29/2023,249.21,252.75,242.76,244.14,"135,401,297"
11/28/2023,236.68,247,234.01,246.72,"148,549,906"
11/27/2023,236.89,238.33,232.1,236.08,"112,031,797"
11/24/2023,233.75,238.75,232.33,235.45,"65,125,199"
11/22/2023,242.04,244.01,231.4,234.21,"118,117,102"
11/21/2023,235.04,243.62,233.34,241.2,"122,288,000"
11/20/2023,234.04,237.1,231.02,235.6,"116,562,398"
11/17/2023,232,237.39,226.54,234.3,"142,766,203"
11/16/2023,239.49,240.88,230.96,233.59,"136,816,797"
11/15/2023,239.29,246.7,236.45,242.84,"150,354,000"
11/14/2023,235.03,238.14,230.72,237.41,"149,771,594"
11/13/2023,215.6,225.4,211.61,223.71,"140,447,594"
11/10/2023,210.03,215.38,205.69,214.65,"131,310,094"
11/9/2023,219.75,220.8,206.68,209.98,"142,110,500"
11/8/2023,223.15,224.15,217.64,222.11,"106,584,797"
11/7/2023,219.98,223.12,215.72,222.18,"116,900,094"
11/6/2023,223.98,226.32,215,219.27,"117,335,797"
11/3/2023,221.15,226.37,218.4,219.96,"119,534,797"
11/2/2023,212.97,219.2,211.45,218.51,"125,987,602"
11/1/2023,204.04,205.99,197.85,205.66,"121,661,695"
10/31/2023,196.12,202.8,194.07,200.84,"118,068,305"
10/30/2023,209.28,210.88,194.67,197.36,"136,448,188"
10/27/2023,210.6,212.41,205.77,207.3,"94,881,172"
10/26/2023,211.32,214.8,204.88,205.76,"115,112,602"
10/25/2023,215.88,220.1,212.2,212.42,"107,065,102"
10/24/2023,216.5,222.05,214.11,216.52,"118,231,102"
10/23/2023,210,216.98,202.51,212.08,"150,683,391"
10/20/2023,217.01,218.86,210.42,211.99,"138,010,094"
10/19/2023,225.95,230.61,216.78,220.11,"170,772,703"
10/18/2023,252.7,254.63,242.08,242.68,"125,147,797"
10/17/2023,250.1,257.18,247.08,254.85,"93,562,914"
10/16/2023,250.05,255.4,248.48,253.92,"88,917,188"
10/13/2023,258.9,259.6,250.22,251.12,"102,296,797"
10/12/2023,262.92,265.41,256.63,258.87,"111,508,094"
10/11/2023,266.2,268.6,260.9,262.99,"103,706,305"
10/10/2023,257.75,268.94,257.65,263.62,"122,656,000"
10/9/2023,255.31,261.36,252.05,259.67,"101,377,906"
10/6/2023,253.98,261.65,250.65,260.53,"118,121,797"
10/5/2023,260,263.6,256.25,260.05,"119,159,203"
10/4/2023,248.14,261.86,247.6,261.16,"129,721,602"
10/3/2023,248.61,250.02,244.45,246.53,"101,985,297"
